Mode,Passage,Text,Modified,Item_ID,word,Ambiguous,Persp_count,Difficult,Page,Frequency,Line_on_page,Position,Position_line
CPN,101,1,Original,15,He,Ambiguous,1,2,1,1,2,2,2
CPN,101,1,Original,16,had,Ambiguous,1,2,1,1,2,3,3
CPN,101,1,Original,17,eaten,Ambiguous,1,2,1,1,2,4,4
CPN,101,1,Original,18,attentively,Ambiguous,1,2,1,6,2,5,5
CPN,101,1,Original,49,All,Ambiguous,2,2,1,1,5,2,2
CPN,101,1,Original,50,his,Ambiguous,2,2,1,1,5,3,3
CPN,101,1,Original,51,love,Ambiguous,2,2,1,1,5,4,4
CPN,101,1,Original,52,all,Ambiguous,2,2,1,1,5,5,5
CPN,101,1,Original,53,his,Ambiguous,2,2,1,1,5,6,6
CPN,101,1,Original,54,reverence,Ambiguous,2,2,1,5,5,7,5
CPN,101,1,Original,55,had,Ambiguous,2,2,1,1,5,8,4
CPN,101,1,Original,56,returned,Ambiguous,2,2,1,1,5,9,3
CPN,101,1,Original,57,and,Ambiguous,2,2,1,1,5,10,2
CPN,101,1,Original,58,she,Ambiguous,2,2,1,1,5,11,1
CPN,101,1,Original,59,knew,Ambiguous,2,2,1,1,6,1,1
CPN,101,1,Original,60,it,Ambiguous,2,2,1,1,6,2,1
CPN,101,1,Original,154,Spurred,Non Ambiguous,2,2,3,1,1,5,5
CPN,101,1,Original,155,on,Non Ambiguous,2,2,3,1,1,6,5
CPN,101,1,Original,156,by,Non Ambiguous,2,2,3,1,1,7,4
CPN,101,1,Original,157,her,Non Ambiguous,2,2,3,1,1,8,3
CPN,101,1,Original,158,sense,Non Ambiguous,2,2,3,1,1,9,2
CPN,101,1,Original,159,that,Non Ambiguous,2,2,3,1,1,10,1
CPN,101,1,Original,160,William’s,NA,2,1.9,3,NA,1,NA,NA
CPN,101,1,Original,161,affection,Non Ambiguous,2,2,3,3,2,2,2
CPN,101,1,Original,162,had,Non Ambiguous,2,2,3,1,2,3,3
CPN,101,1,Original,163,come,Non Ambiguous,2,2,3,1,2,4,4
CPN,101,1,Original,164,back,Non Ambiguous,2,2,3,1,2,5,5
CPN,101,1,Original,165,to,Non Ambiguous,2,2,3,1,2,6,5
CPN,101,1,Original,166,her,Non Ambiguous,2,2,3,1,2,7,4
CPN,101,1,Original,167,and,Non Ambiguous,2,2,3,1,2,8,3
CPN,101,1,Original,168,that,Non Ambiguous,2,2,3,1,2,9,2
CPN,101,1,Original,169,everything,Non Ambiguous,2,2,3,1,2,10,1
CPN,101,1,Original,170,was,Non Ambiguous,2,2,3,1,3,1,1
CPN,101,1,Original,171,all,Non Ambiguous,2,2,3,1,3,2,2
CPN,101,1,Original,172,right,Non Ambiguous,2,2,3,1,3,3,3
CPN,101,1,Original,173,again,Non Ambiguous,2,2,3,1,3,4,4
CPN,101,1,Original,174,and,Non Ambiguous,2,2,3,1,3,5,5
CPN,101,1,Original,175,that,Non Ambiguous,2,2,3,1,3,6,6
CPN,101,1,Original,176,her,Non Ambiguous,2,2,3,1,3,7,7
CPN,101,1,Original,177,suspense,Non Ambiguous,2,2,3,8,3,8,6
CPN,101,1,Original,178,was,Non Ambiguous,2,2,3,1,3,9,5
CPN,101,1,Original,179,over,Non Ambiguous,2,2,3,1,3,10,4
CPN,101,1,Original,180,and,Non Ambiguous,2,2,3,1,3,11,3
CPN,101,1,Original,181,that,Non Ambiguous,2,2,3,1,3,12,2
CPN,101,1,Original,182,now,Non Ambiguous,2,2,3,1,3,13,1
CPN,101,1,Original,183,she,Non Ambiguous,2,2,3,1,4,1,1
CPN,101,1,Original,184,was,Non Ambiguous,2,2,3,1,4,2,2
